v2	V(vout)	I(R4)
Step Information: Illu_set=100  (Run: 1/10)
1.800000000000000e+000	1.800000e+000	3.327219e-002
1.900000000000000e+000	1.900000e+000	3.325875e-002
2.000000000000000e+000	2.000000e+000	3.324527e-002
2.100000000000000e+000	2.100000e+000	3.323175e-002
2.200000000000000e+000	2.200000e+000	3.321817e-002
2.300000000000000e+000	2.300000e+000	3.320448e-002
2.400000000000000e+000	2.400000e+000	3.319064e-002
2.500000000000000e+000	2.500000e+000	3.317656e-002
2.600000000000000e+000	2.600000e+000	3.316211e-002
2.700000000000000e+000	2.700000e+000	3.314709e-002
2.800000000000000e+000	2.800000e+000	3.313120e-002
2.900000000000000e+000	2.900000e+000	3.311396e-002
3.000000000000000e+000	3.000000e+000	3.309467e-002
3.100000000000000e+000	3.100000e+000	3.307221e-002
3.200000000000000e+000	3.200000e+000	3.304488e-002
3.300000000000000e+000	3.300000e+000	3.301007e-002
3.400000000000000e+000	3.400000e+000	3.296376e-002
3.500000000000000e+000	3.500000e+000	3.289979e-002
3.600000000000000e+000	3.600000e+000	3.280871e-002
3.700000000000000e+000	3.700000e+000	3.267605e-002
3.800000000000000e+000	3.800000e+000	3.247965e-002
3.900000000000000e+000	3.900000e+000	3.218577e-002
4.000000000000000e+000	4.000000e+000	3.174311e-002
4.100000000000000e+000	4.100000e+000	3.107434e-002
4.200000000000000e+000	4.200000e+000	3.006391e-002
4.300000000000000e+000	4.300000e+000	2.854183e-002
4.400000000000000e+000	4.400000e+000	2.626345e-002
4.500000000000000e+000	4.500000e+000	2.288819e-002
4.600000000000000e+000	4.600000e+000	1.796400e-002
4.625000000000000e+000	4.625000e+000	1.642729e-002
4.650000000000000e+000	4.650000e+000	1.474943e-002
4.675000000000000e+000	4.675000e+000	1.292050e-002
4.700000000000000e+000	4.700000e+000	1.093040e-002
4.725000000000000e+000	4.725000e+000	8.768918e-003
4.750000000000000e+000	4.750000e+000	6.425876e-003
4.775000000000000e+000	4.775000e+000	3.891178e-003
4.800000000000000e+000	4.800000e+000	1.154948e-003
4.825000000000000e+000	4.825000e+000	1.000000e-004
4.850000000000000e+000	4.850000e+000	1.000000e-004
4.875000000000000e+000	4.875000e+000	1.000000e-004
4.900000000000000e+000	4.900000e+000	1.000000e-004
4.925000000000000e+000	4.925000e+000	1.000000e-004
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=900  (Run: 9/10)
1.000000000000000e-001	1.000000e-001	3.768918e-002
2.000000000000000e-001	2.000000e-001	3.767579e-002
3.000000000000000e-001	3.000000e-001	3.766239e-002
4.000000000000000e-001	4.000000e-001	3.764900e-002
5.000000000000000e-001	5.000000e-001	3.763560e-002
6.000000000000000e-001	6.000000e-001	3.762221e-002
7.000000000000000e-001	7.000000e-001	3.760881e-002
